Date,TripID,Month,SiteID,TP,pH,EC,DOMgL,DOPctSat,Flow
5/13/2021,5/13/2021-1-CWMN,May,BEB025,0.0276,7.13,20,8.83,80.2,Flowing
6/10/2021,6/10/2021-1-CWMN,June,BEB025,0.082,6.86,108,5.71,62.3,Flowing
7/8/2021,7/8/2021-1-CWMN,July,BEB025,0.0929,7.41,6130,,,Flowing
8/12/2021,08/12/2021-1-CWMN,August,BEB025,0.072,7.25,272,6.01,69.8,Flowing
9/9/2021,09/09/2021-1-CWMN,September,BEB025,0.0764,6.91,218,6,68,Flowing
5/13/2021,5/13/2021-1-CWMN,May,BMB026,0.0257,7.01,120,9.06,85.8,Flowing
6/10/2021,6/10/2021-1-CWMN,June,BMB026,0.061,6.47,379,6.23,71,Flowing
7/8/2021,7/8/2021-1-CWMN,July,BMB026,0.0546,7.04,4880,6.76,77,Flowing
8/12/2021,08/12/2021-1-CWMN,August,BMB026,0.0508,6.83,432,6.41,75.6,Flowing
9/9/2021,09/09/2021-1-CWMN,September,BMB026,0.0726,6.85,314,5.3,60,Flowing
5/13/2021,5/13/2021-1-CWMN,May,EAB010,0.0235,7.08,31,9.81,94.3,Flowing
6/10/2021,6/10/2021-1-CWMN,June,EAB010,0.0602,6.71,110,7.9,92.2,Flowing
7/8/2021,7/8/2021-1-CWMN,July,EAB010,0.0519,6.7,2010,8.69,99.2,Flowing
8/12/2021,08/12/2021-1-CWMN,August,EAB010,0.0489,7.58,121,8.13,97.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,EAB010,,7.14,145,8.63,98,Flowing
5/13/2021,5/13/2021-1-CWMN,May,GEB020,0.0256,7.17,86,10.11,89.3,Flowing
6/10/2021,6/10/2021-1-CWMN,June,GEB020,0.0551,6.85,285,7.41,77.6,Flowing
7/8/2021,7/8/2021-1-CWMN,July,GEB020,0.12,7.03,7700,7.92,85.1,Flowing
8/12/2021,08/12/2021-1-CWMN,August,GEB020,0.0553,7.6,1940,7.32,80.7,Flowing
9/9/2021,09/09/2021-1-CWMN,September,GEB020,0.0872,7.21,1260,7.9,85.6,Flowing
5/13/2021,5/13/2021-1-CWMN,May,HAB002,0.0289,8.16,10,8.93,88.7,Flowing
6/10/2021,6/10/2021-1-CWMN,June,HAB002,0.0857,6.74,420,6.48,77.5,Flowing
7/8/2021,7/8/2021-1-CWMN,July,HAB002,0.0524,7.14,426,7.64,87.9,Flowing
8/12/2021,08/12/2021-1-CWMN,August,HAB002,0.0387,7.8,31,6.52,78.1,Flowing
9/9/2021,09/09/2021-1-CWMN,September,HAB002,0.0529,7.18,52,7.93,90.9,Flowing
5/13/2021,5/13/2021-1-CWMN,May,HAB006,0.07,7.59,31,,,Flowing
6/10/2021,6/10/2021-1-CWMN,June,HAB006,0.0489,6.82,241,,,Flowing
7/8/2021,7/8/2021-1-CWMN,July,HAB006,0.0646,6.95,3450,,,Flowing
8/12/2021,08/12/2021-1-CWMN,August,HAB006,0.11,7.65,85,,,Flowing
9/9/2021,09/09/2021-1-CWMN,September,HAB006,0.0658,7.25,683,,,Flowing
5/13/2021,5/13/2021-1-CWMN,May,HAB010,0.0432,6.86,130,9.17,87,Flowing
6/10/2021,6/10/2021-1-CWMN,June,HAB010,0.0574,6.11,776,6.75,77.5,Flowing
7/8/2021,7/8/2021-1-CWMN,July,HAB010,0.0578,7.2,4110,7.89,88.9,Flowing
8/12/2021,08/12/2021-1-CWMN,August,HAB010,0.0442,7.48,187,6.64,78.5,Flowing
9/9/2021,09/09/2021-1-CWMN,September,HAB010,0.0593,7.19,24200,8.14,92.4,Flowing
5/13/2021,5/13/2021-1-CWMN,May,MEB001,0.06,7.54,355,9.82,90,Flowing
6/10/2021,6/10/2021-1-CWMN,June,MEB001,0.0652,6.64,318,9.12,93.6,Flowing
7/8/2021,7/8/2021-1-CWMN,July,MEB001,0.106,7.11,10500,8.52,91.9,Flowing
8/12/2021,08/12/2021-1-CWMN,August,MEB001,0.0903,7.41,556,7.86,85,Flowing
9/9/2021,09/09/2021-1-CWMN,September,MEB001,0.538,7.12,323,8.28,93.8,Flowing
5/13/2021,5/13/2021-1-CWMN,May,MIB030,0.0355,8.2,187,6.55,60.3,Flowing
6/10/2021,6/10/2021-1-CWMN,June,MIB030,0.114,6.89,345,3.87,39.4,Flowing
7/8/2021,7/8/2021-1-CWMN,July,MIB030,0.117,7.44,537,3.33,38.6,Flowing
8/12/2021,08/12/2021-1-CWMN,August,MIB030,0.111,7.37,30,3.24,36.1,Flowing
9/9/2021,09/09/2021-1-CWMN,September,MIB030,0.105,7.2,185,3.85,40.9,Flowing
5/13/2021,5/13/2021-1-CWMN,May,MLB024,0.0336,7.81,97,9.93,90.3,Flowing
6/10/2021,6/10/2021-1-CWMN,June,MLB024,0.113,6.78,160,7.76,81.9,Flowing
7/8/2021,7/8/2021-1-CWMN,July,MLB024,0.104,6.95,2190,7.63,83.1,Flowing
8/12/2021,08/12/2021-1-CWMN,August,MLB024,0.0665,7.7,146,7.14,80.3,Flowing
9/9/2021,09/09/2021-1-CWMN,September,MLB024,0.0671,7.3,9210,8.19,88.6,Flowing
5/13/2021,5/13/2021-1-CWMN,May,MMB106,0.0222,7.94,10,7.16,72.2,Pond
6/10/2021,6/10/2021-1-CWMN,June,MMB106,0.148,6.95,20,4.12,48.1,Pond
7/8/2021,7/8/2021-1-CWMN,July,MMB106,,,,4.42,56.7,Pond
8/12/2021,08/12/2021-1-CWMN,August,MMB106,0.0932,8.44,10,4.45,54.9,Pond
9/9/2021,09/09/2021-1-CWMN,September,MMB106,,,,3.45,38.5,Pond
5/13/2021,5/13/2021-1-CWMN,May,MOB001,0.0367,7.03,30,8.45,84.5,Flowing
6/10/2021,6/10/2021-1-CWMN,June,MOB001,0.0968,6.52,171,5.7,70,Flowing
7/8/2021,7/8/2021-1-CWMN,July,MOB001,0.077,7,437,6.93,80,Flowing
8/12/2021,08/12/2021-1-CWMN,August,MOB001,0.0831,7.27,121,6.42,77.7,Flowing
9/9/2021,09/09/2021-1-CWMN,September,MOB001,0.0983,7.17,354,6.96,78.7,Flowing
5/13/2021,5/13/2021-1-CWMN,May,MOB032,0.0398,7.06,161,8.82,88.4,Flowing
6/10/2021,6/10/2021-1-CWMN,June,MOB032,0.0894,6.11,399,5.1,62,Flowing
7/8/2021,7/8/2021-1-CWMN,July,MOB032,0.0855,7.29,1720,7.8,90.1,Flowing
8/12/2021,08/12/2021-1-CWMN,August,MOB032,0.0845,7.25,158,5.94,72.1,Flowing
9/9/2021,09/09/2021-1-CWMN,September,MOB032,0.0839,7.24,160,7.86,88.2,Flowing
5/13/2021,5/13/2021-1-CWMN,May,MPB037,0.0196,7.2,52,9.24,88.5,Flowing
6/10/2021,6/10/2021-1-CWMN,June,MPB037,0.0496,6.92,63,5.8,69.2,Flowing
7/8/2021,7/8/2021-1-CWMN,July,MPB037,0.0476,7.27,246,7.59,88.9,Flowing
8/12/2021,08/12/2021-1-CWMN,August,MPB037,0.0261,7.43,10,7.8,94.5,Flowing
9/9/2021,09/09/2021-1-CWMN,September,MPB037,0.0328,7.34,156,6.3,72,Flowing
5/13/2021,5/13/2021-1-CWMN,May,MPB088,0.0185,6.75,10,9.71,93.7,Flowing
6/10/2021,6/10/2021-1-CWMN,June,MPB088,0.0493,6.69,109,6.97,78.6,Flowing
7/8/2021,7/8/2021-1-CWMN,July,MPB088,0.0436,7.04,1380,6.98,78.7,Flowing
8/12/2021,08/12/2021-1-CWMN,August,MPB088,0.0471,6.52,410,6.31,71.4,Flowing
9/9/2021,09/09/2021-1-CWMN,September,MPB088,0.102,7.19,886,7,79,Flowing
5/13/2021,5/13/2021-1-CWMN,May,NER002,0.365,8.46,31,3.07,,Pond
6/10/2021,6/10/2021-1-CWMN,June,NER002,0.591,615,156,0.35,4.1,Pond
7/8/2021,7/8/2021-1-CWMN,July,NER002,0.44,6.95,135,3.02,38.5,Pond
8/12/2021,08/12/2021-1-CWMN,August,NER002,0.32,6.99,20,0.86,10.27,Pond
9/9/2021,09/09/2021-1-CWMN,September,NER002,0.28,7.01,41,4.75,54,Pond
5/13/2021,5/13/2021-1-CWMN,May,NER040,0.0621,7.71,10,5.89,54.4,Flowing
6/10/2021,6/10/2021-1-CWMN,June,NER040,0.145,6.2,187,3.53,37,Flowing
7/8/2021,7/8/2021-1-CWMN,July,NER040,0.104,7.19,520,4.91,58.1,Flowing
8/12/2021,08/12/2021-1-CWMN,August,NER040,0.102,6.99,86,1.58,18.5,Flowing
9/9/2021,09/09/2021-1-CWMN,September,NER040,0.109,6.9,201,3.51,38.6,Flowing
5/13/2021,5/13/2021-1-CWMN,May,NER075,0.0349,7.74,85,9.04,88.7,Pond
6/10/2021,6/10/2021-1-CWMN,June,NER075,0.0615,6.7,85,6.45,77.8,Pond
7/8/2021,7/8/2021-1-CWMN,July,NER075,0.0707,6.97,345,7.1,81.8,Pond
8/12/2021,08/12/2021-1-CWMN,August,NER075,0.0618,7.58,121,6.64,79.7,Pond
9/9/2021,09/09/2021-1-CWMN,September,NER075,0.076,8.22,130,7.42,82.9,Pond
5/13/2021,5/13/2021-1-CWMN,May,NER080,0.0321,7.79,161,9.4,90.5,Flowing
6/10/2021,6/10/2021-1-CWMN,June,NER080,0,6.83,389,6.88,81.7,Flowing
7/8/2021,7/8/2021-1-CWMN,July,NER080,0.0706,7.14,3450,7.6,87,Flowing
8/12/2021,08/12/2021-1-CWMN,August,NER080,0.0558,7.48,265,7.1,85,Flowing
9/9/2021,09/09/2021-1-CWMN,September,NER080,0.075,6.97,336,8.2,92.3,Flowing
5/13/2021,5/13/2021-1-CWMN,May,NER125,0.0328,7.06,52,6.1,59,Flowing
6/10/2021,6/10/2021-1-CWMN,June,NER125,0.0589,6.76,183,1.62,19.2,Flowing
7/8/2021,7/8/2021-1-CWMN,July,NER125,0.0788,6.73,464,,,Flowing
8/12/2021,08/12/2021-1-CWMN,August,NER125,0.0597,6.01,98,5.22,62.8,Flowing
9/9/2021,09/09/2021-1-CWMN,September,NER125,0.0753,6.69,120,4,44.8,Flowing
5/13/2021,5/13/2021-1-CWMN,May,NER150,0.0313,6.68,52,7.3,66,Flowing
6/10/2021,6/10/2021-1-CWMN,June,NER150,0.0599,6.75,134,4.08,48.3,Flowing
7/8/2021,7/8/2021-1-CWMN,July,NER150,0.0649,7.24,472,4.13,47.3,Flowing
8/12/2021,08/12/2021-1-CWMN,August,NER150,0.0593,7.26,85,4.9,58.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,NER150,0.107,6.97,3870,4.69,52.3,Flowing
5/13/2021,5/13/2021-1-CWMN,May,NER179,0.0378,6.99,110,8.74,85.9,Flowing
6/10/2021,6/10/2021-1-CWMN,June,NER179,0.0764,6.71,228,6.3,74,Flowing
7/8/2021,7/8/2021-1-CWMN,July,NER179,0.0764,7.18,1050,7.61,87.5,Flowing
8/12/2021,08/12/2021-1-CWMN,August,NER179,0.0702,7.21,98,6.92,82.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,NER179,0.0807,7.28,546,7.86,88.2,Flowing
5/13/2021,5/13/2021-1-CWMN,May,NER185,0.0386,7.02,249,8.98,84.9,Flowing
6/10/2021,6/10/2021-1-CWMN,June,NER185,0.0614,6.59,211,6.3,75,Flowing
7/8/2021,7/8/2021-1-CWMN,July,NER185,0.0756,6.89,1140,7.91,91.2,Flowing
8/12/2021,08/12/2021-1-CWMN,August,NER185,0.0722,7.25,171,7.01,83.5,Flowing
9/9/2021,09/09/2021-1-CWMN,September,NER185,0.0911,7,538,7.97,89.5,Flowing
5/13/2021,5/13/2021-1-CWMN,May,NER200,0.0362,7.04,52,14.5,95,Flowing
6/10/2021,6/10/2021-1-CWMN,June,NER200,0.0735,6.7,278,7.5,88,Flowing
7/8/2021,7/8/2021-1-CWMN,July,NER200,0.0715,7.28,1260,8.66,98.4,Flowing
8/12/2021,08/12/2021-1-CWMN,August,NER200,0.0611,6.74,187,7.54,89.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,NER200,0.0875,7.42,441,7.92,88.7,Flowing
5/13/2021,5/13/2021-1-CWMN,May,PEB008,0.043,7.04,74,9.3,84,Flowing
6/10/2021,6/10/2021-1-CWMN,June,PEB008,0.0873,6.35,86,6.24,68.4,Flowing
7/8/2021,7/8/2021-1-CWMN,July,PEB008,0.0989,6.99,1610,4.13,47.3,Flowing
8/12/2021,08/12/2021-1-CWMN,August,PEB008,0.0752,6.95,305,6.65,77.1,Flowing
9/9/2021,09/09/2021-1-CWMN,September,PEB008,0.0789,6.74,189,7.01,77.2,Flowing
5/13/2021,5/13/2021-1-CWMN,May,POB040,0.0289,6.87,31,9.3,84,Flowing
6/10/2021,6/10/2021-1-CWMN,June,POB040,0.0802,6.92,345,4.74,50.8,Flowing
7/8/2021,7/8/2021-1-CWMN,July,POB040,0.0968,6.91,1620,6.05,66.6,Flowing
8/12/2021,08/12/2021-1-CWMN,August,POB040,0.0687,6.68,122,4.03,46.3,Flowing
9/9/2021,09/09/2021-1-CWMN,September,POB040,0.0794,7.08,121,4.87,53,Flowing
5/13/2021,5/13/2021-1-CWMN,May,PQB036,0.0165,7.07,52,3.5,33,Flowing
6/10/2021,6/10/2021-1-CWMN,June,PQB036,,,,0.97,11,Flowing
7/8/2021,7/8/2021-1-CWMN,July,PQB036,0.0642,6.62,717,2.18,24.1,Flowing
8/12/2021,08/12/2021-1-CWMN,August,PQB036,0.0668,7.26,771,1.13,13.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,PQB036,0.0698,6.9,1860,1.67,18.4,Flowing
5/13/2021,5/13/2021-1-CWMN,May,PQB040,0.0171,7.09,10,9.75,91.6,Flowing
6/10/2021,6/10/2021-1-CWMN,June,PQB040,0.0321,6.73,148,6.92,79,Flowing
7/8/2021,7/8/2021-1-CWMN,July,PQB040,0.0324,7.1,1050,7.96,87,Flowing
8/12/2021,08/12/2021-1-CWMN,August,PQB040,0.0399,7.8,384,6.31,76.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,PQB040,0.0513,7.08,907,6.5,75,Flowing
5/13/2021,5/13/2021-1-CWMN,May,PTB028,0.0253,7.04,85,9.2,87,Flowing
6/10/2021,6/10/2021-1-CWMN,June,PTB028,0.057,6.78,30,4.2,48,Flowing
7/8/2021,7/8/2021-1-CWMN,July,PTB028,0.0608,7.34,1860,5.56,60.5,Flowing
8/12/2021,08/12/2021-1-CWMN,August,PTB028,0.0614,7.21,31,5.58,63.7,Flowing
9/9/2021,09/09/2021-1-CWMN,September,PTB028,0.166,8.5,8160,6.64,72.5,Flowing
5/13/2021,5/13/2021-1-CWMN,May,PTB035,0.0373,7.1,520,,,Flowing
6/10/2021,6/10/2021-1-CWMN,June,PTB035,0.0925,6.43,292,4.8,54,Flowing
7/8/2021,7/8/2021-1-CWMN,July,PTB035,0.0743,7.27,3260,6.32,68.8,Flowing
8/12/2021,08/12/2021-1-CWMN,August,PTB035,0.0588,7.32,213,6.9,78.9,Flowing
9/9/2021,09/09/2021-1-CWMN,September,PTB035,0.0926,7.48,798,7.3,80,Flowing
5/13/2021,5/13/2021-1-CWMN,May,PTB047,0.0292,7.09,435,8.35,78.3,Flowing
6/10/2021,6/10/2021-1-CWMN,June,PTB047,0.0536,6.33,538,6.6,73,Flowing
7/8/2021,7/8/2021-1-CWMN,July,PTB047,0.0647,7.31,4880,7.55,82.5,Flowing
8/12/2021,08/12/2021-1-CWMN,August,PTB047,0.0515,7.35,389,6.84,78.3,Flowing
9/9/2021,09/09/2021-1-CWMN,September,PTB047,0.105,7.34,3260,8.02,87.8,Flowing
5/13/2021,5/13/2021-1-CWMN,May,PUB022,0.0259,7.86,52,99.1,91.5,Flowing
6/10/2021,6/10/2021-1-CWMN,June,PUB022,0.0583,6.46,624,8.32,93.6,Flowing
7/8/2021,7/8/2021-1-CWMN,July,PUB022,0.0768,7.22,1230,8.81,96.3,Flowing
8/12/2021,08/12/2021-1-CWMN,August,PUB022,0.0648,7.66,146,7.55,86.9,Flowing
9/9/2021,09/09/2021-1-CWMN,September,PUB022,0.185,7.44,74,7.27,80.2,Flowing
5/13/2021,5/13/2021-1-CWMN,May,SHB021,0.0231,7.78,62,9.27,89,Flowing
6/10/2021,6/10/2021-1-CWMN,June,SHB021,0.0463,6.73,52,6.91,79.1,Flowing
7/8/2021,7/8/2021-1-CWMN,July,SHB021,0.0622,6.35,2190,7.48,84.4,Flowing
8/12/2021,08/12/2021-1-CWMN,August,SHB021,0.0316,7.02,97,7,82.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,SHB021,0.055,7.25,233,7.3,84,Flowing
5/13/2021,5/13/2021-1-CWMN,May,SMB001,0.0241,7.9,20,6.64,64.7,Flowing
6/10/2021,6/10/2021-1-CWMN,June,SMB001,0.0374,7.02,74,4.6,49.9,Flowing
7/8/2021,7/8/2021-1-CWMN,July,SMB001,0.0509,7.42,134,1.21,14.7,Flowing
8/12/2021,08/12/2021-1-CWMN,August,SMB001,0.0535,7.33,85,4.11,48.3,Flowing
9/9/2021,09/09/2021-1-CWMN,September,SMB001,0.0572,7.3,63,5.38,59,Flowing
5/13/2021,5/13/2021-1-CWMN,May,SPB016,0.0518,7.71,10,6.7,67.5,Flowing
6/10/2021,6/10/2021-1-CWMN,June,SPB016,0.0553,6.74,30,5.55,65.1,Flowing
7/8/2021,7/8/2021-1-CWMN,July,SPB016,0.0571,7.07,3260,5,62.3,Flowing
8/12/2021,08/12/2021-1-CWMN,August,SPB016,0.0692,7.15,96,5.6,69.5,Flowing
9/9/2021,09/09/2021-1-CWMN,September,SPB016,0.0474,6.98,41,6.58,75.6,Flowing
5/13/2021,5/13/2021-1-CWMN,May,THB033,0.0278,6.71,235,10.72,94.4,Flowing
6/10/2021,6/10/2021-1-CWMN,June,THB033,0.0631,6.84,689,8.6,88,Flowing
7/8/2021,7/8/2021-1-CWMN,July,THB033,0.13,7.08,8660,8.31,89,Flowing
8/12/2021,08/12/2021-1-CWMN,August,THB033,0.0502,7.02,754,8.22,88.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,THB033,0.0672,6.29,839,7.08,79.1,Flowing
5/13/2021,5/13/2021-1-CWMN,May,UNB002,0.0677,6.94,63,8.1,71,Flowing
6/10/2021,6/10/2021-1-CWMN,June,UNB002,0.152,6.28,959,5.1,52,Flowing
7/8/2021,7/8/2021-1-CWMN,July,UNB002,,,,6.65,71.2,Flowing
8/12/2021,08/12/2021-1-CWMN,August,UNB002,0.0936,7.16,2100,6.89,75,Flowing
9/9/2021,09/09/2021-1-CWMN,September,UNB002,0.113,7.18,3870,6.19,68.2,Flowing
5/13/2021,5/13/2021-1-CWMN,May,UNB014,0.0343,6.85,733,9.3,82,Flowing
6/10/2021,6/10/2021-1-CWMN,June,UNB014,0.122,6.83,1460,8.3,79,Flowing
7/8/2021,7/8/2021-1-CWMN,July,UNB014,0.106,6.28,9800,8.68,91.5,Flowing
8/12/2021,08/12/2021-1-CWMN,August,UNB014,0.0549,7.11,457,8.84,91.4,Flowing
9/9/2021,09/09/2021-1-CWMN,September,UNB014,0.227,7.86,17300,7.55,79.8,Flowing
5/13/2021,5/13/2021-1-CWMN,May,UNB016,0.0498,6.74,85,9.8,88,Flowing
6/10/2021,6/10/2021-1-CWMN,June,UNB016,0.0692,6.32,706,9.5,92,Flowing
7/8/2021,7/8/2021-1-CWMN,July,UNB016,0.0913,7.25,24200,8.75,93.1,Flowing
8/12/2021,08/12/2021-1-CWMN,August,UNB016,0.0701,,107,9.45,98.2,Flowing
9/9/2021,09/09/2021-1-CWMN,September,UNB016,0.175,7.16,24200,8.38,92.1,Flowing
5/13/2021,5/13/2021-1-CWMN,May,WIP002,0.0246,7.92,10,8.84,84,Pond
6/10/2021,6/10/2021-1-CWMN,June,WIP002,0.0289,6.91,41,6.7,80.3,Pond
7/8/2021,7/8/2021-1-CWMN,July,WIP002,0.032,7.13,292,5.92,71.4,Pond
8/12/2021,08/12/2021-1-CWMN,August,WIP002,0.0365,7.4,52,6.6,81.3,Pond
9/9/2021,09/09/2021-1-CWMN,September,WIP002,0.0487,7.15,131,5,57.5,Pond
5/13/2021,5/13/2021-1-CWMN,May,WIP003,0.0203,7.91,10,,,Pond
6/10/2021,6/10/2021-1-CWMN,June,WIP003,0.0299,6.92,292,,,Pond
7/8/2021,7/8/2021-1-CWMN,July,WIP003,0.0286,7.28,62,,,Pond
8/12/2021,08/12/2021-1-CWMN,August,WIP003,0.0378,7.08,10,,,Pond
9/9/2021,09/09/2021-1-CWMN,September,WIP003,0.0445,6.99,10,,,Pond
